,listing_id,label,probability,prediction
0,6868371,2,"[0.11087862726619843,0.30190696735210565,0.5872144053816959]",2.0
1,7028559,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
2,7096363,2,"[0.08155245125100528,0.23660176406655423,0.6818457846824406]",2.0
3,6921833,2,"[0.08155245125100528,0.23660176406655423,0.6818457846824406]",2.0
4,7029901,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
5,7022019,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
6,6988624,2,"[0.044349651644542284,0.17420010285379806,0.7814502455016596]",2.0
7,7042837,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
8,6931187,1,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
9,6877851,2,"[0.24458079326869692,0.33490267691792275,0.4205165298133804]",2.0
10,7221168,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
11,7191964,2,"[0.0467615563758041,0.22217707601591802,0.7310613676082778]",2.0
12,7205022,2,"[0.08155245125100528,0.23660176406655423,0.6818457846824406]",2.0
13,6979910,2,"[0.25627808775626504,0.23489869109801775,0.5088232211457172]",2.0
14,6883576,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
15,7037735,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
16,7001376,2,"[0.09289727033580249,0.24958847316281565,0.6575142565013818]",2.0
17,6930034,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
18,7200033,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
19,6925957,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
20,7112955,2,"[0.08155245125100528,0.23660176406655423,0.6818457846824406]",2.0
21,7142352,2,"[0.08155245125100528,0.23660176406655423,0.6818457846824406]",2.0
22,7136563,2,"[0.09289727033580249,0.24958847316281565,0.6575142565013818]",2.0
23,6967342,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
24,7167744,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
25,7059126,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
26,6940812,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
27,7052160,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
28,6872105,2,"[0.08155245125100528,0.23660176406655423,0.6818457846824406]",2.0
29,6963040,2,"[0.25627808775626504,0.23489869109801775,0.5088232211457172]",2.0
30,6823888,2,"[0.044349651644542284,0.17420010285379806,0.7814502455016596]",2.0
31,7135844,2,"[0.044349651644542284,0.17420010285379806,0.7814502455016596]",2.0
32,7231197,2,"[0.08155245125100528,0.23660176406655423,0.6818457846824406]",2.0
33,7120548,2,"[0.08155245125100528,0.23660176406655423,0.6818457846824406]",2.0
34,7059188,2,"[0.08155245125100528,0.23660176406655423,0.6818457846824406]",2.0
35,6956860,2,"[0.08155245125100528,0.23660176406655423,0.6818457846824406]",2.0
36,6890131,2,"[0.08155245125100528,0.23660176406655423,0.6818457846824406]",2.0
37,6860169,2,"[0.08155245125100528,0.23660176406655423,0.6818457846824406]",2.0
38,7151479,2,"[0.08155245125100528,0.23660176406655423,0.6818457846824406]",2.0
39,7189826,2,"[0.046556788253549544,0.18515763148945555,0.7682855802569948]",2.0
40,7194078,2,"[0.044349651644542284,0.17420010285379806,0.7814502455016596]",2.0
41,7131094,2,"[0.08155245125100528,0.23660176406655423,0.6818457846824406]",2.0
42,7153185,2,"[0.044349651644542284,0.17420010285379806,0.7814502455016596]",2.0
43,6969449,2,"[0.08805521822537059,0.28306097525851054,0.628883806516119]",2.0
44,7067348,2,"[0.05683278668568213,0.20404412258948007,0.7391230907248378]",2.0
45,7067407,2,"[0.05683278668568213,0.20404412258948007,0.7391230907248378]",2.0
46,7149866,2,"[0.05683278668568213,0.20404412258948007,0.7391230907248378]",2.0
47,7152004,2,"[0.05683278668568213,0.20404412258948007,0.7391230907248378]",2.0
48,6894564,2,"[0.04927602393832139,0.19242323954027526,0.7583007365214034]",2.0
49,7143633,2,"[0.16596450591991624,0.31511062440647764,0.5189248696736062]",2.0
50,7042197,2,"[0.05683278668568213,0.20404412258948007,0.7391230907248378]",2.0
51,6883156,2,"[0.05683278668568213,0.20404412258948007,0.7391230907248378]",2.0
52,6856176,2,"[0.04927602393832139,0.19242323954027526,0.7583007365214034]",2.0
53,6943562,2,"[0.04927602393832139,0.19242323954027526,0.7583007365214034]",2.0
54,6865056,2,"[0.11108696111397039,0.26154967398547685,0.6273633649005528]",2.0
55,7005771,2,"[0.11108696111397039,0.26154967398547685,0.6273633649005528]",2.0
56,7218888,2,"[0.05089767769241713,0.2284253518487715,0.7206769704588114]",2.0
57,7042984,2,"[0.05683278668568213,0.20404412258948007,0.7391230907248378]",2.0
58,7145853,2,"[0.05683278668568213,0.20404412258948007,0.7391230907248378]",2.0
59,6979545,2,"[0.04927602393832139,0.19242323954027526,0.7583007365214034]",2.0
60,7223088,2,"[0.09378830849273784,0.2928425655429652,0.613369125964297]",2.0
61,7151122,2,"[0.3341076163880389,0.341302664861055,0.32458971875090625]",1.0
62,7150216,2,"[0.04927602393832139,0.19242323954027526,0.7583007365214034]",2.0
63,6985855,2,"[0.04927602393832139,0.19242323954027526,0.7583007365214034]",2.0
64,7147894,2,"[0.05683278668568213,0.20404412258948007,0.7391230907248378]",2.0
65,7146609,2,"[0.05683278668568213,0.30404412258948005,0.6391230907248378]",2.0
66,6812025,1,"[0.23963690247062425,0.2456147314887672,0.5147483660406085]",2.0
67,6812133,2,"[0.05375503604849421,0.20777350788796384,0.738471456063542]",2.0
68,6812491,2,"[0.10009551813074713,0.27220434956132394,0.627700132307929]",2.0
69,6817103,2,"[0.05375503604849421,0.20777350788796384,0.738471456063542]",2.0
70,6817571,2,"[0.051547899439486934,0.19681597925230632,0.7516361213082068]",2.0
71,6817612,2,"[0.23963690247062425,0.2456147314887672,0.5147483660406085]",2.0
