,listing_id,label,probability,prediction
0,6833526,2,"[0.04756371264085954,0.1314673160371394,0.8209689713220011]",2.0
1,6905001,2,"[0.07357205976272532,0.2236069155387124,0.7028210246985622]",2.0
2,7096363,2,"[0.0857782501463213,0.24238123980931267,0.6718405100443661]",2.0
3,6864486,2,"[0.07603385799831881,0.21109113519538034,0.7128750068063009]",2.0
4,6967001,2,"[0.07532730449851904,0.19448684788826348,0.7301858476132175]",2.0
5,7022617,2,"[0.07276387530802819,0.16571487343562674,0.7615212512563451]",2.0
6,7022019,2,"[0.0827965531382155,0.2597892672358709,0.6574141796259135]",2.0
7,6930016,2,"[0.05163591696780152,0.24040406343941048,0.7079600195927881]",2.0
8,6931187,1,"[0.06961790253988821,0.1707191112925059,0.7596629861676057]",2.0
9,6877851,2,"[0.07452227876446783,0.16847532975649895,0.7570023914790331]",2.0
10,7221168,2,"[0.08274918417806633,0.32878088705714703,0.5884699287647867]",2.0
11,6836960,1,"[0.07440912851126547,0.21970584330102327,0.7058850281877114]",2.0
12,6837641,2,"[0.08438216126849774,0.2799614805037361,0.635656358227766]",2.0
13,6937358,2,"[0.07278281009528201,0.16581500478989306,0.7614021851148249]",2.0
14,6882853,2,"[0.08172939878890019,0.2202746843123421,0.6979959168987577]",2.0
15,6930034,2,"[0.09874083922308337,0.40995438006927787,0.4913047807076388]",2.0
16,6892890,2,"[0.06896663188303291,0.20501883734719245,0.7260145307697746]",2.0
17,7028603,2,"[0.06896397570887455,0.20492083605365186,0.7261151882374737]",2.0
18,6963613,2,"[0.06098817002396577,0.17948868992257153,0.7595231400534627]",2.0
19,7167697,2,"[0.07746785693591518,0.2198045494102787,0.7027275936538061]",2.0
20,6886320,2,"[0.07310575180386583,0.20996007085849205,0.7169341773376421]",2.0
21,6978996,2,"[0.08700270125829478,0.23566354178765794,0.6773337569540473]",2.0
22,7151717,2,"[0.07512497037004581,0.16669790472365484,0.7581771249062994]",2.0
23,6857401,2,"[0.0756065336532654,0.2434010636693096,0.6809924026774251]",2.0
24,7150129,2,"[0.07276463291734393,0.1656533309178808,0.7615820361647753]",2.0
25,7136563,2,"[0.07519315768824299,0.1668939994267381,0.7579128428850189]",2.0
26,7193073,2,"[0.07354698755125641,0.16530700865771586,0.7611460037910277]",2.0
27,7194124,2,"[0.07354817533124526,0.16531029414090195,0.7611415305278528]",2.0
28,7074669,2,"[0.07254154306995077,0.16078276198048064,0.7666756949495684]",2.0
29,6834142,2,"[0.07516167363167268,0.16696428740961883,0.7578740389587084]",2.0
30,7231197,2,"[0.0735504905957349,0.16529774221537197,0.7611517671888931]",2.0
31,7189092,2,"[0.06729365516248638,0.2603918574256612,0.6723144874118524]",2.0
32,6906278,2,"[0.07297986928058614,0.16514694363165147,0.7618731870877625]",2.0
33,7147613,2,"[0.06870390277009332,0.15722281293683535,0.7740732842930713]",2.0
34,7149016,2,"[0.05969395834083902,0.169175640196402,0.7711304014627589]",2.0
35,7148854,2,"[0.07468936743768613,0.16981753688916,0.7554930956731539]",2.0
36,6813785,2,"[0.08155402886394494,0.21599644930369744,0.7024495218323575]",2.0
37,6858186,2,"[0.07183240975845483,0.17787948838242512,0.7502881018591201]",2.0
38,7150079,2,"[0.07314772586433636,0.16648746360849057,0.7603648105271731]",2.0
39,6882915,2,"[0.08022432127233482,0.25694390386556426,0.6628317748621009]",2.0
40,7120109,2,"[0.07468252468046271,0.16981096329642978,0.7555065120231076]",2.0
41,7059612,2,"[0.07371574750562483,0.1668437524367633,0.759440500057612]",2.0
42,7231082,2,"[0.08498452527411988,0.24986732175092688,0.6651481529749532]",2.0
43,7142486,2,"[0.08376755046131135,0.26267554355843165,0.653556905980257]",2.0
44,7190068,2,"[0.07371176240463731,0.16676413239007837,0.7595241052052844]",2.0
45,7194078,2,"[0.07370736063955591,0.1667513123648555,0.7595413269955885]",2.0
46,7131094,2,"[0.07421059542387479,0.21234960417401222,0.7134398004021131]",2.0
47,6835113,2,"[0.07372281810129519,0.16697949933663433,0.7592976825620704]",2.0
48,7153185,2,"[0.06775464829820822,0.22584628546733654,0.7063990662344551]",2.0
49,6986119,2,"[0.07789133412304158,0.2155992793470542,0.7065093865299042]",2.0
50,7011262,2,"[0.07315395412650864,0.16657668823311197,0.7602693576403794]",2.0
51,7067348,2,"[0.0733223291879237,0.16802944950512783,0.7586482213069484]",2.0
52,7067407,2,"[0.07311146956997186,0.16868961046048192,0.758198919969546]",2.0
53,7119288,2,"[0.09749681517100559,0.2607115026754283,0.6417916821535661]",2.0
54,7152228,2,"[0.07331825967410764,0.16797423974802642,0.7587075005778658]",2.0
55,7029037,2,"[0.07498046337251417,0.17470074940656558,0.7503187872209203]",2.0
56,6947126,2,"[0.06724559023504634,0.1784078436394167,0.754346566125537]",2.0
57,6856176,2,"[0.07508660956274274,0.1821335490373843,0.742779841399873]",2.0
58,7044218,2,"[0.08860542268459143,0.2666326312547695,0.6447619460606391]",2.0
59,7005771,2,"[0.07039413164161239,0.18712886144435104,0.7424770069140365]",2.0
60,6896078,2,"[0.10105893425508729,0.3010448628969749,0.5978962028479378]",2.0
61,7223088,2,"[0.05387916712656203,0.11512637532844844,0.8309944575449896]",2.0
62,7150216,2,"[0.06422807492437918,0.2168729688710003,0.7188989562046204]",2.0
63,7147121,2,"[0.07309609208237128,0.16860208656511244,0.7583018213525163]",2.0
64,6985855,2,"[0.07348355354557712,0.1695442059889399,0.756972240465483]",2.0
65,7150092,2,"[0.07502933711396285,0.17284385799837437,0.7521268048876627]",2.0
66,6845186,2,"[0.08730446064160864,0.24121799557048085,0.6714775437879106]",2.0
67,6812062,2,"[0.07881461054783433,0.20757969678345717,0.7136056926687084]",2.0
68,6812133,2,"[0.07452894087804282,0.17815316996704056,0.7473178891549166]",2.0
69,7558642,2,"[0.07489848502894311,0.1931169411182071,0.7319845738528499]",2.0
70,6817040,2,"[0.07533316626113849,0.20886751314376792,0.7157993205950935]",2.0
71,6817383,2,"[0.08141038161161354,0.2202932823155009,0.6982963360728854]",2.0
72,6817605,2,"[0.06918382796244543,0.1646409724064238,0.7661751996311307]",2.0
73,6817759,2,"[0.06080022325269505,0.1516369489626893,0.7875628277846156]",2.0
74,6819156,2,"[0.06799543605857636,0.17115662906797482,0.7608479348734489]",2.0
