,listing_id,label,probability,prediction
0,6868371,2,"[0.14959671637952532,0.30450613386370884,0.545897149756766]",2.0
1,7028559,2,"[0.10516945460101772,0.2677223378033882,0.6271082075955942]",2.0
2,7163153,2,"[0.10541881558599141,0.26862266867067586,0.6259585157433328]",2.0
3,6833526,2,"[0.1241403703477712,0.22412013943002,0.6517394902222088]",2.0
4,7058179,2,"[0.10469204756031247,0.26565632506186976,0.6296516273778178]",2.0
5,7052910,2,"[0.11764288955273135,0.2966140746745129,0.5857430357727557]",2.0
6,7029901,2,"[0.08897681198604566,0.26707418681664075,0.6439490011973136]",2.0
7,7152233,2,"[0.11899671121029834,0.2629824457134548,0.6180208430762467]",2.0
8,7047275,2,"[0.08887664813912592,0.26658236132423185,0.6445409905366423]",2.0
9,6930016,2,"[0.14952975242477212,0.30419566497354095,0.5462745826016868]",2.0
10,6877851,2,"[0.24264198246486324,0.3102080926666745,0.4471499248684622]",2.0
11,6979910,2,"[0.12043566621962341,0.26833626926872073,0.6112280645116559]",2.0
12,6930088,2,"[0.10525237603116212,0.26815613882486156,0.6265914851439763]",2.0
13,7151025,2,"[0.14975405037352235,0.3047441231189786,0.545501826507499]",2.0
14,7167725,2,"[0.14955012408136567,0.3040029132752347,0.5464469626433996]",2.0
15,6901147,1,"[0.14951687638407252,0.3041865384356849,0.5462965851802426]",2.0
16,6926070,2,"[0.08955222339879036,0.26993458922289404,0.6405131873783155]",2.0
17,7150721,2,"[0.08912932880779577,0.26769279412016667,0.6431778770720374]",2.0
18,6886320,2,"[0.08882559143740013,0.26648756543925756,0.6446868431233423]",2.0
19,7032828,2,"[0.10524868734139216,0.2680469382859077,0.6267043743727002]",2.0
20,7010660,2,"[0.14948647356123884,0.30395245175268093,0.5465610746860803]",2.0
21,7063096,2,"[0.10553354845564956,0.2691887523151634,0.6252776992291871]",2.0
22,7142352,2,"[0.1177209741458761,0.29684257515042656,0.5854364507036972]",2.0
23,6899022,2,"[0.11535857528537419,0.28723378163243135,0.5974076430821944]",2.0
24,7059126,2,"[0.10456845914573089,0.265151913472537,0.6302796273817322]",2.0
25,7038587,2,"[0.10557384960250821,0.26938116140111035,0.6250449889963815]",2.0
26,7005184,2,"[0.11756347518918692,0.2963241598320543,0.5861123649787587]",2.0
27,6823888,2,"[0.10420187280321552,0.2638730070657763,0.6319251201310081]",2.0
28,6858307,2,"[0.1168318810916691,0.29340072757691976,0.5897673913314111]",2.0
29,7152456,2,"[0.09234020242229982,0.30014082027002376,0.6075189773076766]",2.0
30,6912643,2,"[0.10798407114435399,0.2960393210791753,0.5959766077764707]",2.0
31,6813785,2,"[0.10821675307816526,0.2972029872493605,0.5945802596724743]",2.0
32,7059612,2,"[0.12062943197965402,0.32849348179515697,0.5508770862251889]",2.0
33,7148862,2,"[0.10825481283263776,0.29701615537735404,0.5947290317900081]",2.0
34,7189826,2,"[0.10824104917588906,0.2969091857067479,0.5948497651173631]",2.0
35,7131094,2,"[0.12106206924167366,0.33046253854685054,0.5484753922114758]",2.0
36,6919754,2,"[0.09185734020555476,0.29780978652998047,0.6103328732644646]",2.0
37,6852149,2,"[0.10774643182815101,0.29501818155138737,0.5972353866204617]",2.0
38,7011262,2,"[0.1089249269426782,0.3003379352142227,0.5907371378430991]",2.0
39,7067348,2,"[0.111947321868672,0.33386607728126294,0.554186600850065]",2.0
40,7067407,2,"[0.09501269437564948,0.33412161813898095,0.5708656874853695]",2.0
41,7119288,2,"[0.1275881357740682,0.33244621963337134,0.5399656445925605]",2.0
42,7149866,2,"[0.1119684443003728,0.3338714909092998,0.5541600647903274]",2.0
43,7059629,2,"[0.11194443622873357,0.33386111658825235,0.554194447183014]",2.0
44,7143633,2,"[0.12783096281571835,0.3335416601486161,0.5386273770356655]",2.0
45,7013271,2,"[0.11193639850224874,0.333878192106178,0.5541854093915733]",2.0
46,7042197,2,"[0.12340774773839304,0.3639978405705848,0.5125944116910223]",2.0
47,6974756,2,"[0.1112247790832656,0.33013043794757474,0.5586447829691598]",2.0
48,6947126,2,"[0.11020652303526228,0.32496041853654783,0.5648330584281899]",2.0
49,6943562,2,"[0.10659210139992203,0.3071533189110897,0.5862545796889883]",2.0
50,7052716,2,"[0.15602822898984492,0.3721452597618989,0.47182651124825625]",2.0
51,6894610,2,"[0.09492710435286618,0.3338207440244919,0.5712521516226419]",2.0
52,7053037,2,"[0.11190551995491921,0.3336706687382204,0.5544238113068605]",2.0
53,7059921,2,"[0.11190896334344502,0.3336765881191873,0.5544144485373675]",2.0
54,7231132,2,"[0.11188179950791438,0.33332245936203764,0.5547957411300479]",2.0
55,7152265,2,"[0.11270533341648785,0.35920657409780893,0.5280880924857032]",2.0
56,6953554,2,"[0.11437257740354051,0.3692247471168979,0.5164026754795616]",2.0
57,6894609,2,"[0.15736550130677776,0.40532677618837276,0.43730772250484956]",2.0
58,6835243,2,"[0.12992759657377742,0.36604909353855114,0.5040233098876714]",2.0
59,6812033,2,"[0.07365918105536325,0.18911496902650984,0.7372258499181269]",2.0
60,6812112,2,"[0.07385454529534279,0.18986262661124934,0.7362828280934078]",2.0
61,6812120,2,"[0.07378526158523513,0.189597314412377,0.7366174240023878]",2.0
62,6817040,2,"[0.0730349236152022,0.18667799707601046,0.7402870793087872]",2.0
63,6817383,2,"[0.07335446266049246,0.18789249307208972,0.7387530442674178]",2.0
64,6817571,2,"[0.08325526070370907,0.2106983356566327,0.7060464036396582]",2.0
65,6817605,2,"[0.06194767683140783,0.18771337120645812,0.7503389519621341]",2.0
66,6817709,2,"[0.08333097602164002,0.21098942834602558,0.7056795956323344]",2.0
67,6819156,2,"[0.08348067482358887,0.21156530383526376,0.7049540213411473]",2.0
68,6819424,2,"[0.07371402768374533,0.18932132659504594,0.7369646457212087]",2.0
69,6819599,2,"[0.07321322123914739,0.18735343159187354,0.739433347168979]",2.0
70,6819608,2,"[0.07300072762960796,0.18654553359393153,0.7404537387764606]",2.0
71,6819739,2,"[0.08425858278244426,0.21457070751351393,0.7011707097040417]",2.0
72,6820533,2,"[0.06181949539516383,0.18713605884098422,0.7510444457638519]",2.0
73,6821744,2,"[0.06178912318551905,0.1869999541658044,0.7512109226486766]",2.0
74,6822664,2,"[0.07366329106457244,0.189121864194341,0.7372148447410866]",2.0
75,6826521,2,"[0.08394424841001201,0.2133476072938949,0.7027081442960931]",2.0
76,6827925,2,"[0.07319905367030147,0.18729195271067686,0.7395089936190217]",2.0
77,6828991,0,"[0.10901046207616648,0.2237157119946649,0.6672738259291687]",2.0
78,7414316,2,"[0.08357989987563813,0.2119375511998243,0.7044825489245377]",2.0
79,6830430,2,"[0.08379777836030089,0.21277833532061116,0.7034238863190879]",2.0
80,7121825,2,"[0.07320856505934477,0.18732675429629342,0.7394646806443619]",2.0
81,6835599,2,"[0.08399811485321544,0.21355003111936202,0.7024518540274225]",2.0
82,6835628,1,"[0.07371929114018051,0.1893301586568544,0.7369505502029651]",2.0
83,6836371,2,"[0.10932186333599662,0.22470812919894584,0.6659700074650575]",2.0
84,6840845,0,"[0.06194541833142916,0.18768992721697847,0.7503646544515924]",2.0
85,6842821,2,"[0.07299822712245498,0.18652254306147756,0.7404792298160675]",2.0
86,6844601,2,"[0.06174063311714254,0.18677121166380237,0.751488155219055]",2.0
87,6848234,2,"[0.08502254682885468,0.19103680552771363,0.7239406476434317]",2.0
88,6850679,2,"[0.07325942550657472,0.18751012865780298,0.7392304458356225]",2.0
89,6850701,2,"[0.07316906238195339,0.18716626395432248,0.7396646736637241]",2.0
