,listing_id,label,probability,prediction
0,7096393,2,"[0.07633565527645486,0.21428537090844202,0.7093789738151032]",2.0
1,7134741,2,"[0.07591404339731511,0.21499854685970693,0.709087409742978]",2.0
2,7170640,2,"[0.07504720424322436,0.2149106246714642,0.7100421710853114]",2.0
3,7022617,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
4,7029901,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
5,7028484,2,"[0.06617711413748473,0.27199425333219696,0.6618286325303184]",2.0
6,7207047,1,"[0.08622832977170822,0.23155108356832993,0.6822205866599619]",2.0
7,6988624,2,"[0.08465833332410432,0.23201336826616076,0.6833282984097349]",2.0
8,7078603,2,"[0.1021107589383701,0.2843536722255804,0.6135355688360496]",2.0
9,6877851,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
10,6837641,2,"[0.08150952564328655,0.2408879407339169,0.6776025336227967]",2.0
11,7152178,2,"[0.07259690850442457,0.20852764397372797,0.7188754475218475]",2.0
12,7162560,2,"[0.08923859887049716,0.2394193867432876,0.6713420143862152]",2.0
13,7041578,2,"[0.07334495525821569,0.21739363393298766,0.7092614108087967]",2.0
14,6910673,2,"[0.0847005943972449,0.230944320293629,0.6843550853091261]",2.0
15,6886583,2,"[0.06785048240256827,0.21419771494098439,0.7179518026564474]",2.0
16,6890226,2,"[0.07504720424322436,0.2149106246714642,0.7100421710853114]",2.0
17,7028469,2,"[0.06545598571278773,0.18671115826346668,0.7478328560237457]",2.0
18,7032828,2,"[0.08449410893865483,0.2373537481825255,0.6781521428788195]",2.0
19,7049021,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
20,6899062,2,"[0.07200578878070157,0.20219188739032967,0.7258023238289687]",2.0
21,6870880,2,"[0.07313846979962563,0.22380306182188417,0.7030584683784902]",2.0
22,6899080,2,"[0.07692760952133061,0.22107929579944594,0.7019930946792234]",2.0
23,7038587,2,"[0.07504720424322436,0.2149106246714642,0.7100421710853114]",2.0
24,7120712,2,"[0.07504720424322436,0.2149106246714642,0.7100421710853114]",2.0
25,7136000,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
26,6963040,2,"[0.08225151590756048,0.22518255449243013,0.6925659296000094]",2.0
27,7108043,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
28,7153130,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
29,7147613,2,"[0.08514595179959158,0.21113101291445036,0.703723035285958]",2.0
30,6894689,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
31,6956860,2,"[0.08072184477312608,0.24901133708438383,0.6702668181424902]",2.0
32,7148854,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
33,7125487,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
34,7037523,2,"[0.07848750997602874,0.24878277663188486,0.6727297133920864]",2.0
35,6813834,2,"[0.09512145540071494,0.29661478701013805,0.608263757589147]",2.0
36,7059612,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
37,7231082,2,"[0.08303531957714978,0.22246549627803391,0.6944991841448163]",2.0
38,7152955,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
39,7194078,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
40,7131094,2,"[0.07638637072073848,0.2301123712141222,0.6935012580651393]",2.0
41,7200428,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
42,7148249,1,"[0.08062822592797576,0.2107452655715277,0.7086265085004966]",2.0
43,6860196,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
44,7121446,2,"[0.07504720424322436,0.2149106246714642,0.7100421710853114]",2.0
45,6953867,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
46,7082377,2,"[0.07684566003073325,0.22429112414081348,0.6988632158284533]",2.0
47,6969449,2,"[0.07444799968641704,0.22748505704602598,0.6980669432675569]",2.0
48,6919723,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
49,7067407,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
50,7152004,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
51,7059629,2,"[0.07484613985771846,0.20259202752101624,0.7225618326212653]",2.0
52,6947126,2,"[0.07577775649113658,0.21188460480212273,0.7123376387067407]",2.0
