,listing_id,label,probability,prediction
0,6846364,2,"[0.05553813253191033,0.19684155847372162,0.747620308994368]",2.0
1,6868371,2,"[0.08666070605427156,0.27388085381523586,0.6394584401304925]",2.0
2,6993743,2,"[0.03575319200309402,0.16954374232096364,0.7947030656759424]",2.0
3,7170640,2,"[0.17494849844401725,0.2572923755813277,0.5677591259746549]",2.0
4,7047275,2,"[0.031175895643005276,0.1719534884966676,0.796870615860327]",2.0
5,7175627,2,"[0.033541023124590494,0.153956595825085,0.8125023810503246]",2.0
6,7141030,2,"[0.08928311690866661,0.2544714508533348,0.6562454322379986]",2.0
7,7078603,2,"[0.038704229378824576,0.15943433809686752,0.8018614325243079]",2.0
8,7221168,2,"[0.03100074371267958,0.17339430702024067,0.7956049492670798]",2.0
9,6883576,2,"[0.03100477515542909,0.1779245386607558,0.7910706861838153]",2.0
10,7037735,2,"[0.031175895643005276,0.1719534884966676,0.796870615860327]",2.0
11,7001376,2,"[0.1033146791878277,0.27846156546321416,0.6182237553489581]",2.0
12,6882213,2,"[0.05866767684446701,0.19997937607385405,0.7413529470816791]",2.0
13,6962972,2,"[0.03993363100100509,0.19666064680034592,0.763405722198649]",2.0
14,6930034,2,"[0.021009551748536952,0.10268754052790077,0.8763029077235623]",2.0
15,7167725,2,"[0.04267890136670769,0.17236318846411675,0.7849579101691756]",2.0
16,6915691,2,"[0.021904064675339615,0.10552560054357471,0.8725703347810857]",2.0
17,6982380,2,"[0.021904064675339615,0.10552560054357471,0.8725703347810857]",2.0
18,6963613,2,"[0.11351090293551187,0.28760913278557865,0.5988799642789095]",2.0
19,7012684,2,"[0.1378376357516476,0.2601233718132926,0.6020389924350598]",2.0
20,6886320,2,"[0.029385979646554938,0.17420749551861647,0.7964065248348285]",2.0
21,6910037,2,"[0.021563420085846788,0.11743856330414888,0.8609980166100044]",2.0
22,6921691,2,"[0.06196490292110514,0.236862229114307,0.7011728679645879]",2.0
23,7010660,2,"[0.04391590379482161,0.17878256756321576,0.7773015286419627]",2.0
24,7150129,2,"[0.10257201838113905,0.2775168020675933,0.6199111795512675]",2.0
25,6870880,2,"[0.030193092134981798,0.15897667943781235,0.8108302284272059]",2.0
26,6899022,2,"[0.021053418128363054,0.107102673667911,0.8718439082037259]",2.0
27,6834172,2,"[0.10372908790328945,0.3012983349038501,0.5949725771928605]",2.0
28,7153130,2,"[0.09580151890897098,0.25430724760332496,0.6498912334877041]",2.0
29,7135844,2,"[0.02051093968284675,0.11084861065187368,0.8686404496652795]",2.0
30,6894689,2,"[0.04194842330163666,0.21880236768819722,0.7392492090101662]",2.0
31,6982707,2,"[0.020630950299922315,0.12105401059287972,0.858315039107198]",2.0
32,7149016,2,"[0.041596909093641464,0.2115049882095374,0.7468981026968212]",2.0
33,7230856,2,"[0.014816369334026611,0.10289854180444329,0.8822850888615301]",2.0
34,7000859,2,"[0.08843703062145711,0.25423272198643404,0.6573302473921089]",2.0
35,6979966,2,"[0.01466503407870475,0.1067739167923305,0.8785610491289647]",2.0
36,6843784,2,"[0.01466503407870475,0.1067739167923305,0.8785610491289647]",2.0
37,7059612,2,"[0.024187620352254278,0.14957467256451068,0.8262377070832351]",2.0
38,7231082,2,"[0.06390117382888483,0.39157054071676195,0.5445282854543532]",2.0
39,7190600,2,"[0.02272161301362692,0.1306772977178267,0.8466010892685464]",2.0
40,6919754,2,"[0.01646619789073812,0.11945617414850089,0.8640776279607609]",2.0
41,7151905,2,"[0.04375188280470379,0.2080187167935851,0.7482294004017112]",2.0
42,7150250,2,"[0.09464055509789046,0.31439403922462017,0.5909654056774895]",2.0
43,7119288,2,"[0.08252077355930257,0.23352373596754822,0.6839554904731492]",2.0
44,6894564,2,"[0.0675649954870942,0.2452911538960258,0.68714385061688]",2.0
45,6871981,2,"[0.0968050055606661,0.27521428444333973,0.6279807099959942]",2.0
46,6872581,2,"[0.0968050055606661,0.27521428444333973,0.6279807099959942]",2.0
47,7048966,2,"[0.07441809210232274,0.2503965113255001,0.6751853965721771]",2.0
48,6830734,2,"[0.08451142226056804,0.2799688705358946,0.6355197072035373]",2.0
49,7143617,2,"[0.24003753585675294,0.37647528799764457,0.38348717614560246]",2.0
50,7049014,2,"[0.08700571840721459,0.2671826557384909,0.6458116258542945]",2.0
51,6943562,2,"[0.012951178397641585,0.0710620029896727,0.9159868186126857]",2.0
52,7044218,2,"[0.011670019784635043,0.07105736111064007,0.9172726191047248]",2.0
53,6865056,2,"[0.15524450099887513,0.32240835794890166,0.5223471410522232]",2.0
54,7052716,2,"[0.20068309384773014,0.41481902067328225,0.3844978854789876]",1.0
55,7145853,2,"[0.06609165500940797,0.2276177972594041,0.7062905477311878]",2.0
56,6957742,2,"[0.09356974948334583,0.3196138604261962,0.5868163900904579]",2.0
57,7109382,2,"[0.09654000763416648,0.255898115163191,0.6475618772026425]",2.0
58,6953901,2,"[0.0878542498327624,0.27931466294748786,0.6328310872197498]",2.0
59,7059921,2,"[0.13445707320312697,0.2968643472759701,0.5686785795209031]",2.0
60,7147121,2,"[0.057941856816380574,0.23070297581026972,0.7113551673733497]",2.0
61,6990913,2,"[0.027416666346962226,0.12474555421573204,0.8478377794373058]",2.0
62,7152265,2,"[0.02794726365597534,0.13451586328514598,0.8375368730588787]",2.0
63,6953554,2,"[0.12413767832997238,0.31144435619165095,0.5644179654783766]",2.0
64,7150092,2,"[0.11189207298677717,0.371657604047082,0.5164503229661409]",2.0
65,6894609,2,"[0.042972136360109076,0.23379146926787775,0.7232363943720133]",2.0
